year,data_status_code,property_type_sort,property_type_code,property_type,market_segment_sort,market_segment_code,market_segment,district_sort,district_code,district,num_units,price_per_m2,median_price,total_price,num_units_clean
2011,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,5,11607.0,1000000.0,5850556.0,5.0
2011,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,14-20,9521.0,687500.0,11919000.0,14.0
2011,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,11,9933.0,785000.0,8540000.0,11.0
2011,D,1,22,Kauf,1,J,Ja,44,44,Hard,9,8400.0,329670.0,3379000.0,9.0
2011,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,36,8825.0,1000000.0,40828584.0,36.0
2011,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,25,8459.0,868858.0,22553584.0,25.0
2011,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,11,11832.0,1430000.0,18275000.0,11.0
2011,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,59-63,12231.0,1530000.0,89427423.0,59.0
2011,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,35,12154.0,1431504.0,48724504.0,35.0
2011,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,24-28,12521.0,1810000.0,40702919.0,24.0
2011,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,75,12500.0,1400000.0,117693295.0,75.0
2011,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,25,14000.0,1600000.0,51376500.0,25.0
2011,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,15,14100.0,1650000.0,22860500.0,15.0
2011,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,17,11400.0,1150000.0,22237500.0,17.0
2011,D,1,22,Kauf,1,J,Ja,74,74,Witikon,18,9161.0,1080000.0,21218795.0,18.0
2011,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,20,11969.0,995000.0,22959000.0,20.0
2011,D,1,22,Kauf,1,J,Ja,82,82,Mühlebach,11,10000.0,875000.0,8506000.0,11.0
2011,D,1,22,Kauf,1,J,Ja,83,83,Weinegg,6–8,14000.0,1750000.0,12353000.0,6.0
2011,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,50,6749.0,585100.0,35355985.0,50.0
2011,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,17,9356.0,670000.0,12580695.0,17.0
2011,D,1,22,Kauf,1,J,Ja,92,92,Altstetten,33,5867.0,566000.0,22775290.0,33.0
2011,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,90,9697.0,1061500.0,106590750.0,90.0
2011,D,1,22,Kauf,1,J,Ja,101,101,Höngg,66,9710.0,1108000.0,76686550.0,66.0
2011,D,1,22,Kauf,1,J,Ja,102,102,Wipkingen,24,9568.0,782500.0,29904200.0,24.0
2011,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,124,6140.0,561500.0,77092194.0,124.0
2011,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,62-66,4910.0,520500.0,37374006.0,62.0
2011,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,37,8000.0,760000.0,29269188.0,37.0
2011,D,1,22,Kauf,1,J,Ja,119,119,Seebach,25,5385.0,410000.0,10449000.0,25.0
2011,D,1,22,Kauf,1,J,Ja,120,12,Kreis 12,9,5862.0,635000.0,5684963.0,9.0
2011,D,1,22,Kauf,1,J,Ja,122,122,Schwamendingen-Mitte,5,4737.0,360000.0,2324963.0,5.0
2012,D,1,22,Kauf,1,J,Ja,0,0,Zurich (Total),494,9875.0,960000.0,642114201.0,494.0
2012,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,31,11134.0,1250000.0,40896000.0,31.0
2012,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,21,11284.0,1410000.0,29696000.0,21.0
2012,D,1,22,Kauf,1,J,Ja,24,24,Enge,7–9,14167.0,940000.0,8920000.0,7.0
2012,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,22,7620.0,637745.0,19218623.0,22.0
2012,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,12,7144.0,400120.0,6903623.0,12.0
2012,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,10,9179.0,950000.0,12315000.0,10.0
2012,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,7–9,9412.0,701721.0,8838721.0,7.0
2012,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,5,9412.0,800000.0,6543721.0,5.0
2012,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,37,14858.0,2135000.0,99719952.0,37.0
2012,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,34–36,14858.0,2225000.0,97513700.0,34.0
2012,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,25,14426.0,1520000.0,40899000.0,25.0
2012,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,6-10,13393.0,1156500.0,11724000.0,6.0
2012,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,15,17500.0,1755000.0,29175000.0,15.0
2012,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,97,12238.0,1365000.0,170929524.0,97.0
2012,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,35,15748.0,2120000.0,99266881.0,35.0
2012,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,15,12500.0,2000000.0,26367000.0,15.0
2012,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,13,14554.0,1249573.0,19110000.0,13.0
2012,D,1,22,Kauf,1,J,Ja,74,74,Witikon,34,7409.0,636000.0,26185643.0,34.0
2012,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,39,14400.0,1735000.0,71565242.0,39.0
