"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2010,"D",1,"22","Kauf",1,"J","Ja",110,"11","Kreis 11","180",5498,601000,112934087
2010,"D",1,"22","Kauf",1,"J","Ja",111,"111","Affoltern","71",5123,565000,42182000
2010,"D",1,"22","Kauf",1,"J","Ja",115,"115","Oerlikon","32",6923,660000,20647217
2010,"D",1,"22","Kauf",1,"J","Ja",119,"119","Seebach","77-81",5605,612500,50104870
2010,"D",1,"22","Kauf",1,"J","Ja",120,"12","Kreis 12","9",6231,685000,5150000
2010,"D",1,"22","Kauf",1,"J","Ja",121,"121","Saatlen","0",,,
2010,"D",1,"22","Kauf",1,"J","Ja",122,"122","Schwamendingen-Mitte","2-6",5023,347500,695000
2010,"D",1,"22","Kauf",1,"J","Ja",123,"123","Hirzenbach","6–8",6295,695000,4455000
2011,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt","567",8900,835000,578979991
2011,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1","8",11347,925000,8875300
2011,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus","5–7",9997,515000,4325300
2011,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen","0",,,
2011,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof","2-6",27590,2275000,4550000
2011,"D",1,"22","Kauf",1,"J","Ja",14,"014","City","0",,,
2011,"D",1,"22","Kauf",1,"J","Ja",20,"2","Kreis 2","30",8416,820000,30370000
2011,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen","19",8265,820000,17850000
2011,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach","3-9",6842,740000,2350000
2011,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge","8–10",10163,1217500,10170000
2011,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3","46",7935,490156,32183497
2011,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon","27",5714,400000,19136941
2011,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg","14",9409,517500,7196000
2011,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld","5",11607,1000000,5850556
2011,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4","14-20",9521,687500,11919000
2011,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd","0",,,
2011,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse","11",9933,785000,8540000
2011,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard","9",8400,329670,3379000
